Q_2_2_1_zone;Q_3_1_4_Scolarite;Q_3_3_2_temps_communautes;Q_3_4_2_activites_professionnelles;Q_4_1_2_1_qui_habite;Q_4_4_1_participer_eglise;Q_4_4_1_participer_au_groupe_jeunes;Q_4_4_1_participe_groupe_femmes;Q_4_4_1_participer_syndicat;Q_4_4_1_participer_a_la_cooperation;Q_4_4_1_participer_a_la_communaute_associative;Q_4_4_1_participer_au_football_de_club;Q_4_5_1_revenu_travail_exterieur;Q_5_1_2_type_culture;Q_5_3_2_cueillette_produits_forestiers;Q_6_1_2_emploi_main_doeuvre;Q_6_1_4_2_Insecticides_chimiques;Q_6_1_4_2_defensifs_naturels;Q_6_1_4_3_herbicide;Q_6_2_1_Produits_chimiques;Q_6_2_1_2_pourquoi_nutiliser_plus_de_produits_chimiques;Q_6_3_1_entendu_parler_agroecologie;Q_6_3_1_3_Pratiquedelagroecologie;Q_6_3_1_3_1_quelle_culture_agroecologie;Q_6_3_1_3_2_depuis_quand_pratique_agroecologie;Q_7_1_1_2_Produits_commerciaux;Q_7_1_1_2_produitprincipal;Q_7_1_1_2_3_forme_commercialisation;Q_7_1_1_3_certification;Q_7_2_1_revenu_agricole_bon_mois;Q_7_2_2_revenu_agricole_mois_difficile;Q_7_4_1_Principales_difficultes_de_production;Q_7_4_1_1_autres_difficultes_de_production;Q_7_4_2_principales_difficultes_de_la_commercialisation;Q_7_5_1_2_credit;Q_7_6_1_Technique_dassistance_a_la_visite;Q_7_6_2_Douviennentlestechniciens;Q_7_6_3_frequence_visites;Q_8_1_2_titredubien;Q_8_1_4_enregistrement_environnemental_CAR;Q_8_1_5_annee_CAR;Q_8_4_1_nouvelles_terres;Q_8_4_1_3_annee_acquisition;Q_8_5_1_evenementdeterrain;Q_8_5_1_5_annee_vendu;Q_8_5_2_refu_proposition_achat_refuse;Q_8_5_2_1_annee_proposition_achat;Q_8_5_3_campagne_ne_vend_pas_ta_terre;Q_9_1_1_2_abandondelaculture;Q_9_1_1_3_pourquoi_abandonner;Q_9_2_1_nouvelles_activites;Q_9_2_1_2_quelles_nouvelles_activites;Q_9_3_1_Changement_du_climat;Q_9_3_1_4_assechement_source;Q_9_3_1_5_Sourcesdeauassechees;Q_9_4_1_Changement_apres_soja;Q_9_4_1_2_quand_changements;Q_9_4_1_3_quand_changements_lies_soja;Q_9_4_1_4_changements_positifs_soja;Q_9_4_1_5_changements_negatifs_soja;Q_9_4_2_atteint_pour_la_pulverisation_des_pesticides;Q_9_4_2_3_commentaire_pesticides_impactant;Q_9_4_2_4_problemes_sante_lies_pulverisations;Q_9_5_1_enfants_veulent_continuer_leur_activite_agricole;Q_9_5_1_2_quel_futur_veulent_pour_les_enfants;Q_9_5_2_quel_futur_5_ans;Q_9_6_1_situation_communautaire_sante;Q_9_6_1_situation_communaute_education;Q_9_6_1_situation_communaute_production_agricole;Q_9_6_1_situation_communaute_route_transport;Q_9_6_1_situation_communaute_liens_sociaux;Q_9_6_1_situation_communaute_relations_autres_acteurs_dont_soja;Q_9_6_1_situation_communaute_pouvoirs_publics;Q_9_6_2_changements_15ans_sante;Q_9_6_2_changements_15ans_education;Q_9_6_2_changements_15ans_production_agricole;Q_9_6_2_changements_15ans_transport_route;Q_9_6_2_changements_15ans_liens_sociaux;Q_9_6_2_changements_15ans_acteurs_exterieurs;Q_9_6_2_changements_15ans_pouvoirs_publics;Q_9_6_3_situation_agricole_familiale;Q_9_6_3_situation_communaute_si_continue;Q_9_6_3_situation_soja_si_continue
S2DebutdeCuruáUna;ecolesecondaireincomplete;Jesuisne(e)ici/j'aigrandiici/jesuisarrive(e)icipendantmonenfance(jusqu'al'agede18ans);"Participeauxactivitesagricolesdelafamille;Effectuedestravauxquotidiensdanslazonerurale";"Conjoint/partenaire/partenaire;beau-pere/belle-mereoubeau-pere/belle-mere";Non;Non;Non;Participer;Non;Non;Non;Personnenetravailleendehorsdulotissement;"Plantation;fermeproductiveouarriere-cour";"Noix(babassu,andiroba,patauá,noixduBresil,muru-muru,etc.);Chasse";;Tousles2-3mois;Jamais;Tousles2-3mois;Utilisation;;Non;;;;Farine,Tapioca;Farine;Ventelorsd'unefoiremunicipale;Non;Jusqu'a0,5salaireminimum;Rien;Ravageurs,maladies,insectes;;"Manquedetransportadequat;difficultesaseconformerauxreglementationssanitaires;difficultesaseconformerauxreglementationssanitaires;manqued'assistanceaumarche";Aucun;Non;;;Titredefinitif(INCRAouITERPA);Non;;Non;;non;;Oui;1999;Oui;;;Non;;"Augmentationdelatemperature(pluschaude);Moinsdepluie;Augmentationdesprecipitations";Non;;Oui,jesaisqueçafaitmal;;Elles'estdeveloppeeaucoursdesdixdernieresannees;Aucun;Aucun;Non;;Iln'avaitpas;Oui;Poursuivrel'activiteagricole;Jeveuxcontinuerarenforcerlesactivitesdulot;moyen;moyen;bon;bon;bon;;mauvais;C'estlamemechose;C'estlamemechose;Amelioree;C'estlamemechose;C'estlamemechose;C'estlamemechose;C'estlamemechose;Ilserenforcera;Ilserenforcera;Ilserenforcera
S2DebutdeCuruáUna;Enseignementprimaireincomplet;Plusde30ans;Participeauxactivitesagricolesdelafamille;Conjoint/partenaire/partenaire;Leadership;Non;Non;Leadership;Non;Non;Non;Personnenetravailleendehorsdulotissement;"Plantation;Legumes;Fermeproductiveouarriere-cour";Autres;Quelquesfoisparmois;Jamais;Jamais;Jamais;Jamaisutilise;;Oui;Oui;Unearriere-courproductive;10ans;Haricots,Legumes,Manioc;Haricots;Ventelorsd'unefoiremunicipale;Non;Entre0,5et1salaireminimum;Jusqu'a0,5salaireminimum;"Difficulted'accesauxsemencescreoles(agriculteurslocaux);Ressourcesfinancieres;Manqued'assistancetechnique";;"Difficulteaseconformerauxreglementationssanitaires;Difficulteaseconformerauxreglementationssanitaires;Difficulteaseconformerauxreglementationssanitaires;Manqued'aidealacommercialisation";Aucun;Oui;EMATER;Unefoisparan;Reçud'achat;Oui,individuel;2014;Non;;non;;Oui;2001;Oui;;;Non;;Augmentationdelatemperature(pluschaud);Non;;Oui,jesaisqueçafaitmal;;Elles'estdeveloppeeaucoursdesdixdernieresannees;Aucun;Aucun;Non;;Jenesaispas;Oui;Qu'ilspoursuiventdesetudessuperieures;"Jeveuxcontinuerarenforcerlesactivitesdulot;Autres";moyen;bon;moyen;mauvais;bon;mauvais;mauvais;Amelioree;Amelioree;Amelioree;Amelioree;Amelioree;C'estlamemechose;Lasituationaempire;Lasituationvaempirer;Ilnechangerapas;Ilserenforcera
S4Ituqui;Enseignementprimaireincomplet;De5a15ans;Participeauxactivitesagricolesdelafamille;"Conjoint/partenaire/partenaire;Fils,fille";Participer;Participer;Participer;Non;Non;Non;Non;Personnenetravailleendehorsdulotissement;"Roça;Sitioouarriere-courproductive;Autresplantationsseules(monoculture)";Noix(babassu,andiroba,patauá,noixduBresil,muru-muru,etc.);;Tousles2-3mois;Jamais;Jamais;;;Non;;;;;;;Non;Entre0,5et1salaireminimum;Jusqu'a0,5salaireminimum;"Periodedesecheresse;ravageurs,maladies,insectes;ressourcesfinancieres;manqued'assistancetechnique";;"Manquedetransportadequat;manqued'assistancetechniqueaumarche";Aucun;Non;;;Titularisation;Non;;Non;;non;;Non;;Oui;Riz;Pourlepetitprix;Non;;Augmentationdelatemperature(pluschaud);Non;;Oui,jesaisqueçafaitmal;;Augmentationaucoursdes5dernieresannees;Aucun;"Changementclimatique;dommagesgenerauxal'environnement";Non;;Iln'avaitpas;Oui;Poursuivrel'activiteagricole;Jeveuxcontinuerarenforcerlesactivitesdulot;moyen;moyen;bon;mauvais;moyen;moyen;mauvais;Amelioree;Amelioree;C'estlamemechose;Amelioree;C'estlamemechose;C'estlamemechose;C'estlamemechose;Lasituationvaempirer;Ilserenforcera;Ilserenforcera
S2DebutdeCuruáUna;Diplomed'etudessecondaires;De5a15ans;"Participeauxactivitesagricolesdelafamille;Effectuedestravauxquotidiensdanslazonerurale";"Conjoint/partenaire/partenaire;Fils,fille";Participer;Non;Non;Leadership;Non;Non;Participer;Personnenetravailleendehorsdulotissement;Plantation;"Fruits(açaí,buriti,bacaba,piquia,etc.);Fruitsacoque(babaçu,andiroba,patauá,castanha-do-pará,muru-muru,etc.)";;1ou2foisparan;Jamais;;Utilisation;;Oui;;;;Manioc;Manioc;Vendresurleterrain;Non;Plusde1a3salairesminimums;Entre0,5et1salaireminimum;"Periodedesecheresse;ravageurs,maladies,insectes;ressourcesfinancieres";;"Difficulteaseconformerauxreglementationssanitaires;manqued'aidealacommercialisation";Aucun;Non;;;Autres;Non;;Non;;non;;Non;;Oui;Riz;Par;Non;;"Augmentationdelatemperature(pluschaude);Moinsd'humiditedansl'air(moinsdebrouillard)";Non;;Oui,jesaisqueçafaitmal;;Elles'estdeveloppeeaucoursdesdixdernieresannees;Aucun;Dommagesgenerauxal'environnement;Oui;Malaise(odeurforte,mauxdetete,vomissements);Iln'avaitpas;Non;Qu'ilspoursuiventdesetudessuperieures;Jeveuxcontinuerarenforcerlesactivitesdulot;moyen;bon;mauvais;bon;bon;moyen;mauvais;C'estlamemechose;C'estlamemechose;C'estlamemechose;Amelioree;Amelioree;C'estlamemechose;C'estlamemechose;Lasituationvaempirer;Ilnechangerapas;Ilnechangerapas
M1Centredelegumes;Enseignementprimaireincomplet;Plusde30ans;"Participeauxactivitesagricolesdelafamille;Effectuedestravauxquotidiensdanslazonerurale";"Conjoint/partenaire/partenaire;Fils,fille";Participer;Non;Non;Participer;Non;Non;Participer;Personnenetravailleendehorsdulotissement;Fermeoujardinproductif;"Fibres(cipó,talas,ecorce,paille);Fruits(açaí,buriti,bacaba,piquia,etc.)";;Jamais;Jamais;;Jamaisutilise;;Oui;Oui;Production;Vousmanquezdetemps;Paprika,Farine,Gommedetapioca;Paprika;Ventelorsd'unefoiremunicipale;;Vousnesavezpas;Vousnesavezpas;Ravageurs,maladies,insectes;;;Aucun;;;;Titularisation;Non;;Non;;non;;Non;;Non;Maïs,haricots,riz,manioc;Enraisondeleurage,leursparentsetleursenfantsn'ontpasvoulucontinuer.;Non;;Deplacementdelasaisondespluies;Non;;Oui,jesaisqueçafaitmal;Depuisl'arriveedusoja;Elles'estdeveloppeeaucoursdesdixdernieresannees;Aucun;"Pertedeproduction;aggravationdelasantedesfamilles;dommagesgenerauxal'environnement";Oui;"Secheressedescultures;invasionderavageurs;malaise(forteodeur,mauxdetete,vomissements).";Mauxdeteteconstants;Oui;"Partiralarecherched'unemploienville;Alleral'universite";Jeveuxcontinuerarenforcerlesactivitesdulot;moyen;bon;mauvais;bon;bon;mauvais;mauvais;Lasituationaempire;Amelioree;C'estlamemechose;Amelioree;Amelioree;C'estlamemechose;Lasituationaempire;Lasituationvaempirer;Lasituationvaempirer;Ilserenforcera
M5Bonnechance(farine);Enseignementprimaireincomplet;Plusde30ans;Participeauxactivitesagricolesdelafamille;"Conjoint/partenaire/partenaire;Fils,fille";Participer;Participer;Non;Participer;Non;Participer;Participer;Personnenetravailleendehorsdulotissement;"Plantation;Legumes;Fermeproductiveouarriere-cour";"Fruits(açaí,buriti,bacaba,piquia,etc.);Fruitsacoque(babaçu,andiroba,patauá,castanha-do-pará,muru-muru,etc.)";;1ou2foisparan;Jamais;1ou2foisparan;Utilisation;;Non;;;;;;;Non;Jusqu'a0,5salaireminimum;Jusqu'a0,5salaireminimum;"Ravageurs,maladies,insectes;Ressourcesfinancieres;Autres";Manquedemachines;"Manquedemoyensdetransportadequats;Autres";Autres;Non;;;Reçud'achat;Non;;Non;;non;;Oui;2019;Oui;;;Non;;"Augmentationdelatemperature(pluschaude);Moinsdepluie";Non;;Oui,jesaisqueçafaitmal;Depuisl'arrivee;Augmentationaucoursdes5dernieresannees;Aucun;"Pertedeproduction;deteriorationdelaqualitedel'eau(iguarap?,puits);changementclimatique";Non;;Iln'avaitpas;Non;"Partiralarecherched'unemploienville;Alleral'universite";Jeveuxcontinuerarenforcerlesactivitesdulot;moyen;bon;mauvais;mauvais;bon;moyen;mauvais;Lasituationaempire;Amelioree;Lasituationaempire;C'estlamemechose;Lasituationaempire;Lasituationaempire;Lasituationaempire;Lasituationvaempirer;Lasituationvaempirer;Ilserenforcera
S1Cipoal;Diplomed'etudessecondaires;Plusde30ans;Participeauxactivitesagricolesdelafamille;"Conjoint/partenaire/partenaire;Fils,fille;Gendre/belle-fille";Participer;Participer;Participer;Leadership;Non;Participer;Participer;Personnenetravailleendehorsdulotissement;"Plantation;Legumes;Fermeproductiveouarriere-cour;ConsortiumouSAF";"Fruits(açaí,buriti,bacaba,piquia,etc.);noix(babaçu,andiroba,patauá,castanha-do-pará,muru-muru,etc.)";;Jamais;Jamais;Jamais;Jamaisutilise;;Non;;;;;;;;Plusde1a3salairesminimums;Entre0,5et1salaireminimum;Aucun;;Aucun;Aucun;Non;;;Reçud'achat;Non;;Oui,jel'aifait;2015;non;;Oui;2018;Oui;;;Non;;"Augmentationdelatemperature(pluschaude);Deplacementdelasaisondespluies";Non;;Oui,jesaisqueçafaitmal;13ans;C'estcommeçadepuis15ans;Aucun;Aucun;Non;;Iln'avaitpas;Oui;Autres;Jeveuxcontinuerarenforcerlesactivitesdulot;mauvais;bon;bon;mauvais;bon;bon;mauvais;Lasituationaempire;C'estlamemechose;Amelioree;Lasituationaempire;C'estlamemechose;C'estlamemechose;C'estlamemechose;Ilnechangerapas;;
S1Cipoal;Enseignementprimaireincomplet;Entre15et30ans;Participeauxactivitesagricolesdelafamille;"Conjoint/partenaire/partenaire;Fils,fille";Participer;Non;Non;Participer;Non;Non;Non;Personnenetravailleendehorsdulotissement;Fermeoujardinproductif;Autres;;Jamais;Jamais;Jamais;Jamaisutilise;;Non;;;;Volaille,Volaille,Porcs;Porcs;Ventesdirectesauxconsommateurs;Non;Jusqu'a0,5salaireminimum;Rien;Temperature;;Aucun;Aucun;Oui;Universite;Touslestroismois;Reçud'achat;Non;;Oui,jel'aifait;2016;non;;Oui;2019;Oui;;;Non;;"Augmentationdelatemperature(pluschaude);Augmentationdesprecipitations";Non;;Oui,jesaisqueçafaitmal;11ans;Elles'estdeveloppeeaucoursdesdixdernieresannees;Aucun;"Changementclimatique;dommagesgenerauxal'environnement";Non;;Iln'avaitpas;Oui;Autres;Jeveuxcontinuerarenforcerlesactivitesdulot;bon;bon;moyen;moyen;bon;bon;bon;Lasituationaempire;C'estlamemechose;C'estlamemechose;C'estlamemechose;C'estlamemechose;C'estlamemechose;C'estlamemechose;Ilserenforcera;Ilserenforcera;Lasituationvaempirer
S1Cipoal;Terminerl'enseignementprimaire;Entre15et30ans;Participeauxactivitesagricolesdelafamille;"Conjoint/partenaire/partenaire;Fils,fille";Non;Non;Non;Non;Non;Non;Participer;Personnenetravailleendehorsdulotissement;Plantation;Jenecollectionnepas;;1ou2foisparan;Jamais;Jamais;Utilisation;;Non;;;;Cará,Piquiá,Tapioca;Cará;Venteauxintermediaires;Non;Jusqu'a0,5salaireminimum;Rien;Solfaible/degradation;;"Mauvaisetatdesroutes;Autres";;Non;;;Titredefinitif(INCRAouITERPA);Non;;Non;;non;;Oui;2016;Non;;;Non;;"Augmentationdelatemperature(pluschaude);Deplacementdelasaisondespluies";Oui;Igarape;Oui,jesaisqueçafaitmal;;Elles'estdeveloppeeaucoursdesdixdernieresannees;Aucun;Autres;Non;;Iln'avaitpas;Oui;"Partiralarecherched'unemploienville;Alleral'universite";Jeveuxcontinuerarenforcerlesactivitesdulot;moyen;bon;bon;bon;bon;mauvais;bon;C'estlamemechose;C'estlamemechose;Amelioree;Amelioree;C'estlamemechose;C'estlamemechose;C'estlamemechose;Vousnesavezpas;Lasituationvaempirer;Ilserenforcera
S1Cipoal;Enseignementprimaireincomplet;Plusde30ans;Participeauxactivitesagricolesdelafamille;"Conjoint/partenaire/partenaire;Petit-enfant/petits-enfants";Participer;Non;Non;Participer;Non;Participer;Participer;Vousnesavezpas;"Plantation;fermeproductiveouarriere-cour";Fruits(açaí,buriti,bacaba,piquia,etc.);;Tousles2-3mois;Jamais;Jamais;Avant,maisplusmaintenant;Preoccupationpourl'environnement;Non;;;;;;;Non;Vousnesavezpas;Vousnesavezpas;Aucun;;Aucun;PronafA;Non;;;Titredefinitif(INCRAouITERPA);Oui,individuel;2016;Non;;non;;Non;;Oui;;;Non;;Augmentationdelatemperature(pluschaud);Non;;Oui,jesaisqueçafaitmal;11ans;Elles'estdeveloppeeaucoursdesdixdernieresannees;Aucun;"Qualitedel'eau(iguarap?,puits);changementclimatique;dommagesgenerauxcausesal'environnement";Non;;Iln'avaitpas;Non;Partiralarecherched'unemploienville;Jeveuxcontinuerarenforcerlesactivitesdulot;mauvais;moyen;moyen;mauvais;bon;bon;bon;Lasituationaempire;C'estlamemechose;C'estlamemechose;Lasituationaempire;C'estlamemechose;C'estlamemechose;C'estlamemechose;Ilserenforcera;Ilserenforcera;Lasituationvaempirer
S1Cipoal;Terminerl'enseignementprimaire;Jesuisne(e)ici/j'aigrandiici/jesuisarrive(e)icipendantmonenfance(jusqu'al'agede18ans);Participeauxactivitesagricolesdelafamille;"Conjoint/partenaire/partenaire;Fils,fille";Leadership;Non;Non;Participer;Non;Leadership;Non;Vousnesavezpas;"Swidden;ConsortiumouSAF";Jenecollectionnepas;Quelquesfoisparmois;Tousles2-3mois;Jamais;Jamais;;;Non;;;;Orange,Macaxeira,Tangerine;Macaxeira;Ventescommunautaires;Non;Vousnesavezpas;Vousnesavezpas;Aucun;;Aucun;Aucun;Non;;;Reçud'achat;Non;;Oui,jel'aifait;2015;non;;Non;;Oui;;;Non;;Augmentationdelatemperature(pluschaud);Non;;Oui,jesaisqueçafaitmal;11ans;C'estcommeçadepuis15ans;Ilnepeutpasdire;"Pertedeproduction;deteriorationdelaqualitedel'eau(iguarap?,puits);deteriorationdelasantedesfamilles;changementclimatique;dommagesgenerauxcausesal'environnement.";Non;;Iln'avaitpas;Vousnesavezpas;Partiralarecherched'unemploienville;Jeveuxcontinuerarenforcerlesactivitesdulot;moyen;bon;bon;moyen;bon;bon;bon;Amelioree;Amelioree;Amelioree;Amelioree;C'estlamemechose;C'estlamemechose;C'estlamemechose;Ilserenforcera;Ilserenforcera;Vousnesavezpas
B4StGeorge;Terminerl'enseignementprimaire;Jesuisne(e)ici/j'aigrandiici/jesuisarrive(e)icipendantmonenfance(jusqu'al'agede18ans);"etudie;participeauxactivitesagricolesdelafamille";"Conjoint/partenaire/partenaire;Fils,fille";Leadership;Leadership;Non;Leadership;Non;Leadership;Non;Personnenetravailleendehorsdulotissement;"Swidden;ConsortiumouSAF";Noix(babassu,andiroba,patauá,noixduBresil,muru-muru,etc.);;1ou2foisparan;Jamais;1ou2foisparan;Avant,maisplusmaintenant;Sepreoccuperdesasanteetdecelledesafamille;Oui;Oui;Haricotsmaniocaçaípupunhamaïs;33ans;Noixdecocoattenuee,citron,poivrenoir;Poivre;Venteauxintermediaires;Non;Jusqu'a0,5salaireminimum;Rien;"Periodedesecheresse;Solfaible/degradation;Difficulted'accesauxintrantsnaturels;Difficulted'accesauxsemencescreoles(agriculteurslocaux);Ressourcesfinancieres;Manquedemain-d'œuvre;Manqued'assistancetechnique";;"Mauvaisetatdesroutes;difficultesd'accesauxmarches;manqued'assistancetechniquepourlacommercialisation";Fleurd'amazone;Non;;;Titularisation;Non;;Non;;non;;Non;;Oui;Riz;Beaucoupdepeste;Oui;Plantationsdenoixdecoco,d'açaietdepupunha;"Augmentationdelatemperature(pluschaude);Deplacementdelasaisondespluies";Oui;Igarape;Oui,jesaisqueçafaitmal;9ans;Elles'estdeveloppeeaucoursdesdixdernieresannees;Aucun;Pertedeproduction;Oui;"Secheressedescultures;Ravageursenvahissantvoscultures";Maladiepulmonairechronique(asthme,tuberculose,bronchite,pneumonie);Non;Partiralarecherched'unemploienville;"Jeveuxcontinuerarenforcerlesactivitessurlaparcelle;j'aimeraisdemenagerdansuneautrecommunauterurale";moyen;moyen;moyen;moyen;bon;bon;mauvais;C'estlamemechose;Lasituationaempire;Amelioree;;C'estlamemechose;C'estlamemechose;Lasituationaempire;Lasituationvaempirer;;Ilnechangerapas
S2DebutdeCuruáUna;Diplomed'etudessecondaires;Moinsde5ans;Participeauxactivitesagricolesdelafamille;"Conjoint/partenaire/partenaire;Fils,fille";Participer;Non;Non;Participer;Non;Participer;Participer;Personnenetravailleendehorsdulotissement;"Plantation;fermeproductiveouarriere-cour";Noix(babassu,andiroba,patauá,noixduBresil,muru-muru,etc.);;Jamais;1ou2foisparan;Jamais;Jamaisutilise;;Non;;;;Jerimum,Macaxeira,Cassava;Manioc;Ventescommunautaires,Ventesdirectesauxconsommateurs;Non;Plusde1a3salairesminimums;Jusqu'a0,5salaireminimum;Aucun;;Aucun;Aucun;Non;;;Reçud'achat;Non;;Non;;non;;Oui;2019;Non;;;Oui;elevagedeporcs;Augmentationdelatemperature(pluschaud);Non;;Oui,jesaisqueçafaitmal;11ans;C'estcommeçadepuis15ans;Aucun;Aucun;Non;;Iln'avaitpas;Non;Qu'ilspoursuiventdesetudessuperieures;Jeveuxcontinuerarenforcerlesactivitesdulot;mauvais;moyen;bon;mauvais;bon;bon;mauvais;Amelioree;C'estlamemechose;Amelioree;Lasituationaempire;Amelioree;C'estlamemechose;Amelioree;Lasituationvaempirer;Ilnechangerapas;Ilserenforcera
S2DebutdeCuruáUna;Enseignementprimaireincomplet;Plusde30ans;"Participeauxactivitesagricolesdelafamille;Artisanat";"Conjoint/partenaire/partenaire;Fils,fille";Participer;Non;Non;Participer;Non;Non;Non;Vousnesavezpas;Plantation;Jenecollectionnepas;;Jamais;Jamais;Jamais;Jamaisutilise;;Non;;;;Macaxeira;Macaxeira;Ventescommunautaires;Non;Jusqu'a0,5salaireminimum;Rien;Aucun;;Aucun;Aucun;Non;;;Transfere;Non;;Oui,jel'aifait;2017;non;;Non;;Oui;Riz.;Solfaible.;Non;;"Augmentationdelatemperature(pluschaude);Augmentationdesprecipitations";Non;;Oui,jesaisqueçafaitmal;11ans;Augmentationaucoursdes5dernieresannees;Aucun;"Pertedeproduction;aggravationdelasantedelafamilleChangementclimatique;dommagesgenerauxal'environnement";Oui;"Lesparasitesenvahissentvoscultures;Malaise(forteodeur,mauxdetete,vomissements)";Mauxdeteteconstants;Oui;Qu'ilspoursuiventdesetudessuperieures;Jeveuxcontinuerarenforcerlesactivitesdulot;mauvais;bon;moyen;mauvais;bon;moyen;moyen;Lasituationaempire;C'estlamemechose;C'estlamemechose;Lasituationaempire;C'estlamemechose;C'estlamemechose;C'estlamemechose;Lasituationvaempirer;Lasituationvaempirer;Ilserenforcera
S2DebutdeCuruáUna;Enseignementprimaireincomplet;Entre15et30ans;Participeauxactivitesagricolesdelafamille;"Conjoint/partenaire/partenaire;Fils,fille";Participer;Non;Non;Participer;Non;Non;Non;Plusde1a3salairesminimums;Fermeoujardinproductif;Noix(babassu,andiroba,patauá,noixduBresil,muru-muru,etc.);;1ou2foisparan;Jamais;;Jamaisutilise;;Non;;;;Aviculure;Aviculure;Ventesdirectesauxconsommateurs;Non;Jusqu'a0,5salaireminimum;Rien;Ravageurs,maladies,insectes;;Aucun;Aucun;Non;;;Licenceprofessionnelle(INCRA)-LO;Non;;Non;;non;;Non;;Oui;Cafe,riz.;Parcequelesolestfaible.;Oui;elevagedeporcs;"Augmentationdelatemperature(pluschaude);Moinsd'humiditedansl'air(moinsdebrouillard);Augmentationdesprecipitations";Non;;Oui,jesaisqueçafaitmal;9ans;C'estcommeçadepuis15ans;Aucun;Aucun;Non;;Iln'avaitpas;Non;Qu'ilspoursuiventdesetudessuperieures;Jeveuxcontinuerarenforcerlesactivitesdulot;bon;bon;bon;moyen;bon;bon;mauvais;Amelioree;Amelioree;C'estlamemechose;C'estlamemechose;C'estlamemechose;C'estlamemechose;C'estlamemechose;Ilserenforcera;Vousnesavezpas;Vousnesavezpas
S2DebutdeCuruáUna;Enseignementprimaireincomplet;Jesuisne(e)ici/j'aigrandiici/jesuisarrive(e)icipendantmonenfance(jusqu'al'agede18ans);Participeauxactivitesagricolesdelafamille;"Conjoint/partenaire/partenaire;Fils,fille";Participer;Non;Non;Participer;Non;Non;Non;Vousnesavezpas;"Plantation;fermeproductiveouarriere-cour";Noix(babassu,andiroba,patauá,noixduBresil,muru-muru,etc.);Quelquesfoisparmois;Jamais;Jamais;Jamais;Jamaisutilise;;Non;;;;Manioc;Manioc;Ventelorsd'unefoiremunicipale;Non;Entre0,5et1salaireminimum;Jusqu'a0,5salaireminimum;Temperature;;"Difficulteaseconformeralareglementationsanitaire;Difficulteaseconformeralareglementationsanitaire;Difficulteaseconformeralareglementationsanitaire;Difficulteaseconformeralareglementationsanitaire";PronafB;Non;;;Reçud'achat;Non;;Non;;non;;Non;;Oui;;;Non;;"Augmentationdelatemperature(pluschaude);Moinsd'humiditedansl'air(moinsdebrouillard)";Oui;Igarape;Oui,jesaisqueçafaitmal;11ans;C'estcommeçadepuis15ans;Aucun;Aucun;Non;;Iln'avaitpas;Oui;Poursuivrel'activiteagricole;Jeveuxcontinuerarenforcerlesactivitesdulot;mauvais;bon;bon;bon;bon;bon;mauvais;Lasituationaempire;C'estlamemechose;C'estlamemechose;C'estlamemechose;C'estlamemechose;C'estlamemechose;C'estlamemechose;Vousnesavezpas;Ilserenforcera;Ilserenforcera
S2DebutdeCuruáUna;Enseignementprimaireincomplet;Entre15et30ans;Participeauxactivitesagricolesdelafamille;"Conjoint/partenaire/partenaire;Fils,fille";Participer;Non;Non;Participer;Non;Non;Participer;Vousnesavezpas;"Plantation;Legumes;Fermeproductiveouarriere-cour";Jenecollectionnepas;;Tousles2-3mois;Jamais;Jamais;;;Non;;;;;;;Non;Vousnesavezpas;Rien;Aucun;;Aucun;Aucun;Non;;;Titredefinitif(INCRAouITERPA);Non;;Oui,jel'aifait;2006;non;;Non;;Oui;;;Non;;"Augmentationdelatemperature(pluschaude);Augmentationdesprecipitations";Non;;Oui,jesaisqueçafaitmal;11ans;C'estcommeçadepuis15ans;Aucun;"Pertedeproduction;changementclimatique;dommagesgenerauxal'environnement";Oui;"Lesparasitesenvahissentvoscultures;Malaise(forteodeur,mauxdetete,vomissements)";Mauxdeteteconstants;Oui;Poursuivrel'activiteagricole;Jeveuxcontinuerarenforcerlesactivitesdulot;mauvais;moyen;moyen;bon;bon;bon;mauvais;C'estlamemechose;C'estlamemechose;C'estlamemechose;Amelioree;C'estlamemechose;C'estlamemechose;C'estlamemechose;Ilserenforcera;Ilnechangerapas;Ilserenforcera
