Latitude,Longitude,Q_2.2_municipe,Q_2.2.1_zone,Q_3.1.3_genre,Q_3.1.4_Scolarite,Q_3.3.2_temps_communautes,Q_3.4.2_activites_professionnelles,Q_4.1.2.1_qui_habite,Q_4.4.1_participer_eglise,Q_4.4.1_participer_au_groupe_jeunes,Q_4.4.1_participe_groupe_femmes,Q_4.4.1_participer_syndicat,Q_4.4.1_participer_a_la_cooperation,Q_4.4.1_participer_a_la_communaute_associative,Q_4.4.1_participer_au_football_de_club,Q_4.5.1_revenu_travail_exterieur,Q_5.1.2_type_culture,Q_5.3.2_cueillette_produits_forestiers,Q_5.3.2_Produits forestiers a base de bois,Q_5.3.2_Produits a base de fibres forestieres,Q_5.3.2_Produits_forestiers_huiles_resines,Q_5.3.2_Produits_fruits_forestiers,Q_5.3.2_Produits_forestiers_chataignes,Q_5.3.2_Produits_forestiers,Q_5.3.2_Produits_forestiers_peche,Q_5.3.2_Produits_forestiers_autres,Q_5.3.2_Pas_de_collecte_de_produits_forestiers,Q_5.3.2.1_autres_collections_forestieres_quelles,Q_6.1.2_emploi_main_d'oeuvre,Q_6.1.3_salaires,Q_6.1.4.2_Insecticides_chimiques,Q_6.1.4.2_defensifs_naturels,Q_6.1.4.3_herbicide,Q_6.2.1_Produits_chimiques,Q_6.2.1.2_pourquoi_n'utiliser_plus_de_produits_chimiques,Q_6.2.1.2.1_autres_raisons_d'utiliser_des_produits_chimiques_nuisibles,Q_6.3.1_entendu_parler_agroecologie,Q_6_3₁_3_Pratique_de_l_agroecologie,Q_6.3.1.3.1_quelle_culture_agroecologie,Q_6.3.1.3.2_depuis_quand_pratique_agroecologie,Q_7.1.1.2_Produits_commerciaux,Q_7.1.1.2_produit principal,Q_7.1.1.2.3_forme_commercialisation,Q_7.1.1.3_certification,Q_7.2.1_revenu_agricole_bon_mois,Q_7.2.2_revenu_agricole_mois_difficile,Q_7.4.1_Principales_difficultes_de_production,Q_7.4.1.1_autres_difficultes_de_production,Q_7.4.2_principales_difficultes_de_la_commercialisation,Q_7.4.2.1_Autres_difficultes_de_commercialisation,Q_7.5.1.2_credit,Q_7.6.1_Technique_d'assistance_a_la_visite,Q_7.6.2_D'où viennent les techniciens ?,Q_7.6.2.1_Autres techniciens qui,Q_7.6.3_frequence_visites,Q_8.1.2_titre du bien,Q_8.1.4_enregistrement_environnemental_CAR,Q_8.1.5_annee_CAR,Q_8.4.1_nouvelles_terres,Q_8.4.1.4_prix,Q_8.5.1_evenement de terrain,Q_8.5.2_refu_proposition_achat_refuse,Q_8.5.2.1_annee_proposition_achat,Q_8.5.3_campagne_ne_vend_pas_ta_terre,Q_9.1.1.2_abandon de la culture,Q_9.1.1.3_pourquoi_abandonner,Q_9.2.1_nouvelles_activites,Q_9.2.1.2_quelles_nouvelles_activites,Q_9.3.1_Changement_du_climat,Q_9.3.1.1_Autres_changements_qui,Q_9.3.1.4_assechement_source,Q_9.3.1.5_Sources d'eau de sechage,Q_9.3.1.6_quand_assechement,Q_9.4.1_Changes_apres_soja,Q_9.4.1.2_quand_changements,Q_9.4.1.3_quand_changements_lies_soja,Q_9.4.1.4_changements_positifs_soja,Q_9.4.1.4.1_autres_ameliorations_quoi,Q_9.4.1.5_changements_negatifs_soja,Q_9.4.1.5.1_Autres_pertes_de_soja_apportees_qui,Q_9.4.2_atteint_pour_la_pulverisation_des_pesticides,Q_9.4.2.3_commentaire_pesticides_impactant,Q_9.4.2.4_problemes_sante_lies_pulverisations,Q_9.4.2.4.1_autres_problemes_de_sante_pulverisations_qual,Q_9.5.1_enfants_veulent_continuer_leur_activite_agricole,Q_9.5.1.2_quel_futur_veulent_pour_les_enfants,Q_9.5.2_quel_futur_5_ans,Q_9.6.1_situation_communautaire_sante,Q_9.6.1_situation_communaute_education,Q_9.6.1_situation_communaute_production_agricole,Q_9.6.1_situation_communaute_route_transport,Q_9.6.1_situation_communaute_liens_sociaux,Q_9.6.1_situation_communaute_relations_autres_acteurs_dont_soja,Q_9.6.1_situation_communaute_pouvoirs_publics,Q_9.6.2_changements_15ans_sante,Q_9.6.2_changements_15ans_education,Q_9.6.2_changements_15ans_production_agricole,Q_9.6.2_changements_15ans_transport_route,Q_9.6.2_changements_15ans_liens_sociaux,Q_9.6.2_changements_15ans_acteurs_exterieurs,Q_9.6.2_changements_15ans_pouvoirs_publics,Q_9.6.3_situation_agricole_familiale,Q_9.6.3_situation_communaute_si_continue,Q_9.6.3_situation_soja_si_continue,Q_10_age,Q_11_Dist_soja,@2.1GPS point d'interview location_altitude,,,,,,,,,,,,,,,,,
-2.56055965,-54.76312132,Santarem,S1 Cipoal,Homme,Enseignement primaire incomplet,Je suis ne(e) ici/j'ai grandi ici/je suis arrive(e) ici pendant mon enfance (jusqu'a l'age de 18 ans),Participe aux activites agricoles de la famille,"Conjoint/partenaire/partenaire ; Fils, fille",Non,Non,Non,Participer,Non,Participer,Non,Personne ne travaille en dehors du lotissement,Plantation , Legumes , Ferme productive ou arriere-cour,"Fruits (açaí, buriti, bacaba, piquia, etc.) ; Fruits a coque (babaçu, andiroba, patauá, castanha-do-pará, muru-muru, etc.)",0,0,0,1,1,1,0,0,0, , , ,1 ou 2 fois par an,Tous les 2-3 mois,1 ou 2 fois par an,Jamais utilise, , ,Oui,Non, , ,Orange,Orange,Vente lors d'une foire municipale,Non,"Jusqu'a 0,5 salaire minimum",Rien,Periode de secheresse , temperature , deplacement de la saison des pluies , manque de main-d'œuvre , manque d'assistance technique, ,etat des routes , absence de transport adequat , difficultes a respecter les regles sanitaires , difficultes a respecter les regles sanitaires , difficultes a respecter les regles sanitaires, ,Aucun,Non, , , ,Titularisation,"Oui, individuel",2014,"Oui, je l'ai fait",3000,non,Non, ,Oui,"Riz, haricots et maïs",Prague,Non, ,Augmentation de la temperature (plus chaude) , Deplacement de la saison des pluies , Augmentation des precipitations, ,Non, , ,"Oui, je sais que ça fait mal",4 ans,C'est comme ça depuis 15 ans,Aucun, ,Perte de production , changement climatique, ,Non, ,Il n'avait pas, ,Non,Qu'ils poursuivent des etudes superieures,Je veux continuer a renforcer les activites du lot,mauvais,moyen,mauvais,mauvais,moyen,mauvais,mauvais,Amelioree,Amelioree,La situation a empire,Amelioree,Amelioree,La situation a empire,Amelioree,La situation va empirer,Il se renforcera,Il ne changera pas,44,"494,1686",115,,,,
-2.59522723,-54.76326531,Santarem,S1 Cipoal,Homme,Jamais etudie,Moins de 5 ans,Participe aux activites agricoles de la famille , Effectue des travaux quotidiens dans la zone rurale,"Conjoint/partenaire/partenaire ; Fils, fille",Participer,Non,Non,Participer,Non,Non,Non,Personne ne travaille en dehors du lotissement,Plantation , Legumes , Ferme productive ou arriere-cour,"Fruits (açaí, buriti, bacaba, piquia, etc.) ; noix (babaçu, andiroba, patauá, castanha-do-pará, muru-muru, etc.)",0,0,0,1,1,0,0,0,0, , , ,Jamais,Tous les 2-3 mois,Jamais,Jamais utilise, , ,Oui,Oui,Fruits,Depuis que j'ai commence a cultiver,Macaxeira,Macaxeira,Ventes directes aux consommateurs,Non,Plus de 1 a 3 salaires minimums,"Jusqu'a 0,5 salaire minimum",Periode de secheresse , deplacement de la saison des pluies , sols fragiles/degradation , ressources financieres , manque de main-d'œuvre, ,etat des routes , difficultes a respecter les regles sanitaires , difficultes a respecter les regles sanitaires , difficultes a respecter les regles sanitaires , difficultes a respecter les regles sanitaires, ,Aucun,Non, , , ,Titularisation,Non, ,"Oui, je l'ai fait",80000,non,Oui,2018,Oui,Jardin,En raison de problemes de sante,Non, ,Augmentation de la temperature (plus chaude) , Augmentation des precipitations, ,Non, , ,"Oui, je sais que ça fait mal",2 ans,Augmentation au cours des 5 dernieres annees,Aucun, ,Perte de production , changement climatique, ,Oui,"Secheresse des cultures ; invasion de ravageurs ; malaise (forte odeur, maux de tete, vomissements).",Maux de tete constants, ,Oui,Poursuivre l'agriculture , etudier au niveau universitaire,Je veux continuer a renforcer les activites du lot,mauvais,bon,bon,mauvais,bon,bon,mauvais,La situation a empire,Amelioree,C'est la meme chose,C'est la meme chose,Amelioree,C'est la meme chose,C'est la meme chose,La situation va empirer,La situation va empirer,Il se renforcera,41,"415,3793",85,,,
-2.58651453,-54.71721738,Santarem,S1 Cipoal,Homme,Terminer l'enseignement primaire,Entre 15 et 30 ans,Participe aux activites agricoles de la famille,"Conjoint/partenaire ; fils, fille ; pere/belle-mere ou beau-pere/belle-sœur",Participer,Participer,Non,Participer,Non,Participer,Non,Vous ne savez pas,Swidden , Consortium ou SAF,"Noix (babassu, andiroba, patauá, noix du Bresil, muru-muru, etc.)",0,0,0,0,1,0,0,0,0, , , ,Jamais,Jamais,Jamais,Jamais utilise, , ,Non, , , ,Farine de manioc,Farine,Ventes directes aux consommateurs,Non,"Entre 0,5 et 1 salaire minimum","Jusqu'a 0,5 salaire minimum",Periode de secheresse , temperature , manque de main-d'œuvre, ,Aucun, ,Aucun,Non, , , ,Reçu d'achat,"Oui, individuel",2015,Non, ,non,Oui,2019,Oui, , ,Oui,"Cumaru, urucu, riz",Augmentation de la temperature (plus chaude) , Moins de pluie, ,Oui,Igarape,15 ans,"Oui, je sais que ça fait mal",15 ans,C'est comme ça depuis 15 ans,Aucun, ,Aucun, ,Oui,"Malaise (odeur forte, maux de tete, vomissements)",Il n'avait pas, ,Non,Poursuivre l'activite agricole,Je veux continuer a renforcer les activites du lot,moyen,bon,bon,bon,moyen,bon,bon,Amelioree,Amelioree,Amelioree,Amelioree,La situation a empire,Amelioree,Amelioree,La situation va empirer,La situation va empirer,Il se renforcera,62,"362,51159",112,,,,,,,,,,,,,
-2.54061263,-54.73593186,Santarem,S1 Cipoal,Femme,Enseignement primaire incomplet,Je suis ne(e) ici/j'ai grandi ici/je suis arrive(e) ici pendant mon enfance (jusqu'a l'age de 18 ans),Autres,"Conjoint/partenaire/partenaire ; Fils, fille",Participer,Non,Non,Participer,Non,Non,Non,Plus de 1 a 3 salaires minimums,Ferme ou jardin productif,Je ne collectionne pas,0,0,0,0,0,0,0,0,1, , , ,Jamais,Jamais,Jamais,Jamais utilise, , ,Oui,Oui,Une arriere-cour productive,Depuis le, , , , ,"Jusqu'a 0,5 salaire minimum",Vous ne savez pas,"Sol faible/degradation ; ravageurs, maladies, insectes ; difficultes d'acces aux intrants naturels ; difficultes d'acces aux semences creoles (agriculteurs locaux) ; difficultes d'acces aux semences creoles (agriculteurs locaux) ; ressources financieres", ,Manque de moyens de transport adequats , difficultes a se conformer aux reglementations sanitaires, ,Aucun,Non, , , ,Titularisation,Non, ,Non, ,non,Non, ,Oui, , ,Non, ,Augmentation de la temperature (plus chaude) , Deplacement de la saison des pluies , Autre,Plus de pluie,Non, , ,Il ne peut pas dire, , ,Aucun, ,Aucun, ,Non, ,Il n'avait pas, ,Non,Poursuivre l'activite agricole , Autres,"Je vais continuer, mais sans investir trop d'efforts ou d'argent.",moyen,bon,moyen,moyen,bon,mauvais,mauvais,C'est la meme chose,Amelioree,Amelioree,Amelioree,Amelioree,La situation a empire,La situation a empire,Il ne changera pas, , ,54, ,128,,,,,,,,,,,,,
-2.74006944,-54.77663243,Mojuí dos Campos,M4 PA Jabuti,Femme,Enseignement primaire incomplet,De 5 a 15 ans,Participe aux activites agricoles de la famille,"Conjoint/partenaire/partenaire ; Fils, fille",Participer,Non,Participer,Participer,Non,Participer,Participer,Personne ne travaille en dehors du lotissement,Plantation , ferme productive ou arriere-cour,"Fruits (açaí, buriti, bacaba, piquia, etc.) ; Fruits a coque (babaçu, andiroba, patauá, castanha-do-pará, muru-muru, etc.)",0,0,0,1,1,1,0,0,0, ,Quelques fois par mois, ,Jamais,Jamais,Jamais,Utilisation, , ,Non, , , ,"Farine, amidon de tapioca",Farine,Ventes communautaires,Non,Plus de 1 a 3 salaires minimums,"Jusqu'a 0,5 salaire minimum",Periode de secheresse, ,Autres, , ,Non, , , ,Titre definitif (INCRA ou ITERPA),"Oui, collectif", ,"Oui, je l'ai fait",1500,non,Non, ,Non, , ,Oui, , , ,Non, , ,"Oui, je sais que ça fait mal",15 ans,C'est comme ça depuis 15 ans,Aucun, ,Perte de production, ,Non, ,Autres,Bacteries,Oui,Poursuivre l'activite agricole,Je veux continuer a renforcer les activites du lot,bon,bon,bon,bon,bon,bon,bon,C'est la meme chose,C'est la meme chose,Amelioree,C'est la meme chose,C'est la meme chose,C'est la meme chose,C'est la meme chose,La situation va empirer,Il se renforcera,Il se renforcera,45,"79,7159",61,,,,,,,,,,,,,,,,
-2.56381744,-54.76461879,Santarem,S1 Cipoal,Femme,Enseignement primaire incomplet,Je suis ne(e) ici/j'ai grandi ici/je suis arrive(e) ici pendant mon enfance (jusqu'a l'age de 18 ans),"Participe aux activites agricoles de la famille ; Proprietaire d'un commerce (marchand de legumes, epicier) dans la communaute","Conjoint/partenaire/partenaire ; Fils, fille",Participer,Non,Non,Participer,Non,Leadership,Non,Personne ne travaille en dehors du lotissement,Plantation , ferme productive ou arriere-cour,"Fruits (açaí, buriti, bacaba, piquia, etc.) ; noix (babaçu, andiroba, patauá, castanha-do-pará, muru-muru, etc.)",0,0,0,1,1,0,0,0,0, ,Quelques fois par mois, ,1 ou 2 fois par an,1 ou 2 fois par an,1 ou 2 fois par an,Utilisation, , ,Oui,Oui,Plantation,2 ans,"Farine,Orange,Mandarine",Orange,Vente lors d'une foire municipale,Non,"Entre 0,5 et 1 salaire minimum",Rien,"Sol faible/degradation ; ravageurs, maladies, insectes ; manque de main-d'œuvre", ,etat des routes , difficultes a respecter les regles sanitaires , difficultes a respecter les regles sanitaires , difficultes a respecter les regles sanitaires , difficultes a respecter les regles sanitaires, ,Autres,Non, , , ,Titularisation,"Oui, individuel",2014,"Oui, je l'ai fait",5000,oui,Oui,2019,Oui, , ,Non, ,Augmentation de la temperature (plus chaude) , Augmentation des precipitations, ,Non, , ,"Oui, je sais que ça fait mal",10 ans,Elle s'est developpee au cours des dix dernieres annees,Aucun, ,Perte de production , Sante de la famille, ,Oui,Secheresse des cultures , Ravageurs envahissant vos cultures,"Maladie pulmonaire chronique (asthme, tuberculose, bronchite, pneumonie) Maux de tete constants", ,Oui,Poursuivre l'agriculture , etudier au niveau universitaire,Je veux continuer a renforcer les activites du lot,mauvais,moyen,bon,mauvais,moyen,mauvais,mauvais,C'est la meme chose,La situation a empire,Amelioree,La situation a empire,Amelioree,La situation a empire,C'est la meme chose,La situation va empirer,La situation va empirer,Il se renforcera,52,"125,28902",124,,,,,,,,
-3.12773346,-54.9777443,Belterra,B4 St George,Femme,Enseignement primaire incomplet,Entre 15 et 30 ans,etudie , participe aux activites agricoles de la famille,Une autre personne sans lien de parente,Participer,Non,Participer,Non,Non,Participer,Non,Plus de 1 a 3 salaires minimums,Plantation , ferme productive ou arriere-cour,Je ne collectionne pas,0,0,0,0,0,0,0,0,1, ,Quelques fois par mois, ,Jamais,Jamais,1 ou 2 fois par an,Utilisation, , ,Non, , , ,"Açaí,Farine",Açaï,Ventes communautaires,Non,"Entre 0,5 et 1 salaire minimum","Jusqu'a 0,5 salaire minimum","Ravageurs, maladies, insectes", ,Mauvais etat des routes , manque de transport adequat , difficultes d'acces aux marches, , ,Non, , , ,Titularisation,"Oui, individuel",2018,"Oui, je l'ai fait", ,non,Oui,2019,Non,"Riz, maïs",Il ne produit plus comme avant,Oui,Pupunha,Augmentation de la temperature (plus chaud), ,Non, , ,"Oui, je sais que ça fait mal", , , , ,Perte de production , difficultes d'acces a la parcelle et blocage de la route , aggravation de la sante de la famille , changement climatique , dommages generaux causes a l'environnement., ,Non, ,Autres,Pele se fait blitmer,Vous ne savez pas, ,Autres,mauvais,moyen,moyen,bon,bon,bon,mauvais,Amelioree,C'est la meme chose,Amelioree,Amelioree,C'est la meme chose,La situation a empire,La situation a empire,La situation va empirer,La situation va empirer,Il se renforcera,67,"1196,06749",93,,,,,,,,,
-2.55269448,-54.75157436,Santarem,S1 Cipoal,Femme,Diplome d'etudes secondaires,Je suis ne(e) ici/j'ai grandi ici/je suis arrive(e) ici pendant mon enfance (jusqu'a l'age de 18 ans),Participe aux activites agricoles de la famille,"Fils, fille",Participer,Non,Non,Participer,Participer,Participer,Participer,Vous ne savez pas,Plantation , ferme productive ou arriere-cour,"Fruits (açaí, buriti, bacaba, piquia, etc.) ; Fruits a coque (babaçu, andiroba, patauá, castanha-do-pará, muru-muru, etc.)",0,0,0,1,1,1,0,0,0, , , ,1 ou 2 fois par an,Tous les 2-3 mois,Jamais,Jamais utilise, , ,Oui,Oui,Manioc,Depuis le,"Açaí,Farine",Farine,"Ventes communautaires, AAP, autres",Non,"Entre 0,5 et 1 salaire minimum","Jusqu'a 0,5 salaire minimum","Ravageurs, maladies, insectes ; Contamination par les pesticides", ,etat des routes , absence de transport adequat , difficultes a respecter les regles sanitaires , difficultes a respecter les regles sanitaires , difficultes a respecter les regles sanitaires, ,Fleur d'amazone,Oui,EMATER, ,Tous les trois mois,Autres,"Oui, individuel",2014,Non, ,non,Oui,2018,Oui,Haricots,A cause des insectes,Oui,Legumes,Augmentation de la temperature (plus chaude) , Augmentation des precipitations, ,Non, , ,"Oui, je sais que ça fait mal", ,Augmentation au cours des 5 dernieres annees,Aucun, ,Perte de production , difficultes d'acces a la parcelle et blocage des routes , sante de la famille Changement climatique, ,Oui,"Les parasites envahissent vos cultures ; Malaise (forte odeur, maux de tete, vomissements)","Maladie pulmonaire chronique (asthme, tuberculose, bronchite, pneumonie) Maux de tete constants", ,Oui,Poursuivre l'agriculture , etudier au niveau universitaire,Je veux continuer a renforcer les activites du lot,mauvais,moyen,mauvais,mauvais,bon,moyen,mauvais,La situation a empire,Amelioree,C'est la meme chose,Amelioree,C'est la meme chose,C'est la meme chose,La situation a empire,La situation va empirer,Il ne changera pas,Il ne changera pas,48,"1650,95976",154,,,,,,,,
-2.64489488,-54.31579271,Santarem,S4 Ituqui,Homme,Diplome d'etudes secondaires,Moins de 5 ans,Participe aux activites agricoles de la famille , Effectue des travaux quotidiens dans la zone rurale,"Conjoint/partenaire/partenaire ; Fils, fille",Participer,Non,Non,Non,Non,Non,Leadership,Jusqu'a un salaire minimum,Cultures , Legumes , Autres plantations seules (monoculture),"Noix (babassu, andiroba, patauá, noix du Bresil, muru-muru, etc.)",0,0,0,0,1,0,0,0,0, , , ,Jamais,Jamais,Jamais,Utilisation, , ,Oui,Non, , ,Legumes,Legumes,Ventes communautaires,Non,Plus de 1 a 3 salaires minimums,"Jusqu'a 0,5 salaire minimum","Periode de secheresse ; ravageurs, maladies, insectes ; ressources financieres ; manque d'assistance technique", ,Mauvais etat des routes , Absence de transport adequat , Autre,Prix bas,Aucun,Non, , , ,Titre definitif (INCRA ou ITERPA),Non, ,Non, ,non,Non, ,Oui, , ,Non, ,Augmentation de la temperature (plus chaude) , Moins d'humidite dans l'air (moins de brouillard), ,Oui,Bien,5 ans,"Oui, je sais que ça fait mal",1 an,Augmentation au cours des 5 dernieres annees,Aucun, ,Aucun, ,Oui,"Les parasites envahissent vos cultures ; Malaise (forte odeur, maux de tete, vomissements)",Maux de tete constants, ,Non,Partir a la recherche d'un emploi en ville , Aller a l'universite,Je veux continuer a renforcer les activites du lot,moyen,moyen,bon,mauvais,moyen,bon,mauvais,C'est la meme chose,La situation a empire,Amelioree,C'est la meme chose,C'est la meme chose,C'est la meme chose,C'est la meme chose,Il ne changera pas,Il ne changera pas,Il se renforcera,24,"226,5162",149,,,,,,,,,,
-2.59686415,-54.76546121,Santarem,S1 Cipoal,Femme,Enseignement primaire incomplet,Plus de 30 ans,Participe aux activites agricoles de la famille,"Conjoint/partenaire/partenaire ; Fils, fille",Participer,Non,Non,Leadership,Non,Non,Non,Personne ne travaille en dehors du lotissement,Plantation , ferme productive ou arriere-cour,Chasse,0,0,0,0,0,1,0,0,0, ,Quelques fois par an, ,Jamais,Jamais,1 ou 2 fois par an,Jamais utilise, , ,Non, , , ,"Orange mandarine citron,Citron,Mandarine",Limăo,"Ventes communautaires, Ventes directes aux consommateurs",Non,"Entre 0,5 et 1 salaire minimum","Jusqu'a 0,5 salaire minimum",Periode de secheresse, ,etat des routes , absence de transport adequat , difficultes a respecter les regles sanitaires , difficultes a respecter les regles sanitaires , difficultes a respecter les regles sanitaires, ,Aucun,Non, , , ,Titularisation,"Oui, individuel",2017,Non, ,non,Oui,2016,Oui,Riz,Pourquoi cela n'a pas fonctionne,Oui,Plantes ornementales,Augmentation de la temperature (plus chaude) , Augmentation des precipitations, ,Non, , ,"Oui, je sais que ça fait mal", ,C'est comme ça depuis 15 ans,Aucun, ,Dommages generaux a l'environnement, ,Non, ,Il n'avait pas, ,Non,Poursuivre l'agriculture , etudier au niveau universitaire,Je veux continuer a renforcer les activites du lot,moyen,bon,moyen,mauvais,bon,bon,mauvais,Amelioree,Amelioree,La situation a empire,Amelioree,C'est la meme chose,C'est la meme chose,C'est la meme chose,Il ne changera pas,Il ne changera pas,Il se renforcera,42,"504,30256",100,,,,,,,,,,
-2.5896423,-54.72760386,Santarem,S1 Cipoal,Femme,Enseignement primaire incomplet,Je suis ne(e) ici/j'ai grandi ici/je suis arrive(e) ici pendant mon enfance (jusqu'a l'age de 18 ans),Participe aux activites agricoles de la famille , Effectue des travaux quotidiens dans la zone rurale,"Conjoint/partenaire/partenaire ; Fils, fille",Participer,Non,Non,Participer,Non,Participer,Non,Jusqu'a un salaire minimum,Roça , Sitio ou arriere-cour productive , Autres plantations seules (monoculture),Je ne collectionne pas,0,0,0,0,0,0,0,0,1, , , ,1 ou 2 fois par an,Jamais,Jamais,Jamais utilise, , ,Non, , , ,"Orange, fruit de la passion, mandarine",Fruit de la passion,"Vente aux intermediaires, Vente dans les foires municipales",Non,Plus de 1 a 3 salaires minimums,"Jusqu'a 0,5 salaire minimum",Periode de secheresse, ,Difficulte a se conformer aux reglementations sanitaires, ,Aucun,Non, , , ,Transfere,"Oui, individuel",2014,Non, ,non,Non, ,Oui, , ,Non, ,Augmentation des precipitations, ,Non, , ,Non, , ,Aucun, ,Aucun, ,Non, ,Il n'avait pas, ,Vous ne savez pas,Partir a la recherche d'un emploi en ville , Aller a l'universite,Je veux continuer a renforcer les activites du lot,moyen,bon,bon,bon,bon,bon,moyen,Amelioree,Amelioree,Amelioree,Amelioree,C'est la meme chose,C'est la meme chose,C'est la meme chose,Il se renforcera,Il se renforcera,Il ne changera pas,46,"704,46021",150,,,,,,,,,,,,,
-2.59390795,-54.71586763,Santarem,S1 Cipoal,Homme,Enseignement primaire incomplet,Entre 15 et 30 ans,Participe aux activites agricoles de la famille,"Conjoint/partenaire/partenaire ; Fils, fille",Participer,Non,Non,Participer,Participer,Participer,Non,Vous ne savez pas,Plantation , autres plantations uniques (monoculture),"Fruits (açaí, buriti, bacaba, piquia, etc.)",0,0,0,1,0,0,0,0,0, ,Quelques fois par an, ,1 ou 2 fois par an,Jamais,Jamais,Utilisation, , ,Oui,Oui,Macaxeira,Ne peut repondre,"Jerimum,Macaxeira",Jerimum,"Vente aux intermediaires, PNAE",Non,Plus de 1 a 3 salaires minimums,"Jusqu'a 0,5 salaire minimum",Periode de secheresse, ,Difficulte a se conformer aux reglementations sanitaires, ,Aucun,Oui,EMATER, ,Lorsque le besoin s'en fait sentir,Autres,"Oui, individuel",2014,Non, ,non,Oui,2012,Oui, , ,Non, ,Augmentation de la temperature (plus chaude) , Augmentation des precipitations, ,Non, , ,Non, , ,Emploi , routes mieux entretenues, ,Aucun, ,Non, ,Il n'avait pas, ,Oui,Poursuivre l'activite agricole,Je veux continuer a renforcer les activites du lot,moyen,bon,bon,moyen,bon,bon,moyen,Amelioree,Amelioree,Amelioree,Amelioree,Amelioree,Amelioree,Amelioree,Il se renforcera,Il se renforcera,Il se renforcera,64,"228,73002",127,,,,,,,,,,,,,,
-2.59426249,-54.72533261,Santarem,S1 Cipoal,Femme,Terminer l'enseignement primaire,Plus de 30 ans,Participe aux activites agricoles de la famille , Autre,"Conjoint/partenaire/partenaire ; Fils, fille",Participer,Non,Non,Non,Non,Participer,Participer,Personne ne travaille en dehors du lotissement,Plantation , ferme productive ou arriere-cour,"Fruits (açaí, buriti, bacaba, piquia, etc.) ; noix (babaçu, andiroba, patauá, castanha-do-pará, muru-muru, etc.)",0,0,0,1,1,0,0,0,0, , , ,1 ou 2 fois par an,Jamais,Jamais,Jamais utilise, , ,Oui,Oui,Plantation,Jamais utilise,Orange,Orange,Ventes communautaires,Non,"Jusqu'a 0,5 salaire minimum",Vous ne savez pas,Periode de secheresse , Ressources financieres, ,Manque de moyens de transport adequats, ,Aucun,Oui,EMATER, ,Lorsque le besoin s'en fait sentir,Reçu d'achat,Non, ,"Oui, je l'ai fait",3 000 milliers,oui,Non, ,Oui, , ,Oui,Plantes ornementales,Augmentation de la temperature (plus chaud), ,Non, , ,"Oui, je sais que ça fait mal", ,Augmentation au cours des 5 dernieres annees,Emploi , routes mieux entretenues, ,Dommages generaux a l'environnement, ,Non, ,Il n'avait pas, ,Vous ne savez pas,Qu'ils poursuivent des etudes superieures,Je veux continuer a renforcer les activites du lot,bon,bon,bon,bon,moyen,moyen,moyen,Amelioree,Amelioree,Amelioree,Amelioree,Amelioree,Amelioree,Amelioree,La situation va empirer,Il se renforcera,Il se renforcera,49,"135,21035",121,,,,,,,,,,,,,
-2.62505322,-54.59057069,Santarem,S2 Debut de Curuá Una,Femme,Terminer l'enseignement primaire,Entre 15 et 30 ans,Participe aux activites agricoles de la famille,"Conjoint/partenaire/partenaire ; Fils, fille",Leadership,Non,Non,Participer,Non,Participer,Participer,Jusqu'a un salaire minimum,Plantation , Legumes , Ferme productive ou arriere-cour,Je ne collectionne pas,0,0,0,0,0,0,0,0,1, , , ,Jamais,1 ou 2 fois par an,Jamais,Jamais utilise, , ,Oui,Oui,Macaxeira,Depuis le,"Manioc, fruit de la passion",Fruit de la passion,Vente lors d'une foire municipale,Non,"Jusqu'a 0,5 salaire minimum",Vous ne savez pas,"Periode de secheresse ; Temperature ; Ravageurs, maladies, insectes", ,Manque de transport adequat , difficultes a se conformer aux reglementations sanitaires , difficultes a se conformer aux reglementations sanitaires , manque d'assistance au marche, ,Aucun,Oui,EMATER , Syndicat, ,Une fois par an,Reçu d'achat,"Oui, individuel",2015,Non, ,non,Non, ,Oui,Riz et haricots,"Faute de terres propres, et en raison de l'evolution du sol et du climat",Non, ,Augmentation de la temperature (plus chaud), ,Non, , ,"Oui, je sais que ça fait mal", ,Elle s'est developpee au cours des dix dernieres annees,Aucun, ,Changement climatique , dommages generaux a l'environnement, ,Non, ,Il n'avait pas, ,Vous ne savez pas,Qu'ils poursuivent des etudes superieures,"Je vais continuer, mais sans investir trop d'efforts ou d'argent.",moyen,moyen,moyen,moyen,bon,moyen,mauvais,Amelioree,C'est la meme chose,C'est la meme chose,Amelioree,C'est la meme chose,C'est la meme chose,C'est la meme chose,Il se renforcera,Il se renforcera,Il ne changera pas,48,"303,64298",102,,,,,,,,,,
